Item_ID,Item_Type,Item_Name,Item_Sprite,Item_AbilityRatio,Item_AbilityCount,Base_Level,Base_MinDMG,Base_MaxDMG,Base_DEF,Base_HP,Ability_MagicDMG,Ability_Speed,Ability_DMGall,Ability_Counter,Ability_Regen,Ability_Evasion,Ability_Vamp,Ability_DEF
100,armor,Armor,100_armor_base1_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
101,armor,Armor,101_armor_base2_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
102,armor,Armor,102_armor_base3_normal,1,1,1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1
103,armor,Armor,103_armor_magicDMG_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
104,armor,Armor,104_armor_magicDMG_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
105,armor,Armor,105_armor_magicDMG_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
106,armor,Armor,106_armor_speed_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
107,armor,Armor,107_armor_speed_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
108,armor,Armor,108_armor_speed_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
109,armor,Armor,109_armor_DMGall_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
110,armor,Armor,110_armor_DMGall_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
111,armor,Armor,111_armor_DMGall_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
112,armor,Armor,112_armor_counter_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
113,armor,Armor,113_armor_counter_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
114,armor,Armor,114_armor_counter_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
115,armor,Armor,115_armor_regen_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
116,armor,Armor,116_armor_regen_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
117,armor,Armor,117_armor_regen_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
118,armor,Armor,118_armor_evasion_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
119,armor,Armor,119_armor_evasion_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
120,armor,Armor,120_armor_evasion_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
121,armor,Armor,121_armor_vamp_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
122,armor,Armor,122_armor_vamp_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
123,armor,Armor,123_armor_vamp_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
124,armor,Armor,124_armor_DEF_rare,0.8,2,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
125,armor,Armor,125_armor_DEF_epic,0.6,3,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
126,armor,Armor,126_armor_DEF_legend,0.5,4,1,-1,-1,-1,90,2,4,2,4,0.6,4,4,2
200,ring,Ring,200_ring_magicDMG_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
201,ring,Ring,201_ring_magicDMG_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
202,ring,Ring,202_ring_magicDMG_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
203,ring,Ring,203_ring_magicDMG_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
204,ring,Ring,204_ring_speed_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
205,ring,Ring,205_ring_speed_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
206,ring,Ring,206_ring_speed_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
207,ring,Ring,207_ring_speed_legend,0.5,4,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
208,ring,Ring,208_ring_DMGall_normal,1,1,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
209,ring,Ring,209_ring_DMGall_rare,0.8,2,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
210,ring,Ring,210_ring_DMGall_epic,0.6,3,1,-1,-1,-1,-1,3,6,3,6,0.6,6,6,3
